测试ID,任务ID,测试类型,测试账号,summary,proof_url,预期方向
TC-SUB-01,T005,高质量产品建议,用户A,"Problem: selected task filters disappear when a member opens a task and then returns to the task list. Solution: store the selected type and difficulty in the page URL and browser session. Expected impact: contributors can compare several tasks without repeatedly selecting the same filters. Scope: task portal filter state only. I reproduced this behavior on desktop Chrome and recorded the workflow.",https://example.com/test/filter-state-recording,pass或review
TC-SUB-02,T005,信息不完整建议,用户A,"The leaderboard should show recent contribution momentum. Add a seven-day activity indicator so members can see who is currently active. I have not yet defined how the score should be calculated or validated.",,review
TC-SUB-03,T005,低质量空泛建议,用户B,"Make the product better and add more AI features because users will like it.",,revision
TC-SUB-04,T006,高质量技术分享,用户A,"Source: https://example.com/research/agent-evaluation. The useful idea is that agent evaluation should separate planning failures from tool-execution failures. For SpoonOS, this gives us a better way to write bug reports: contributors should state whether the plan was incorrect or whether the tool result was mishandled, and then attach the relevant trace. This would make product feedback easier to reproduce and review.",https://example.com/research/agent-evaluation,pass或review
TC-SUB-05,T006,个人分析不足,用户A,"Big AI news today. This is very important and everyone should read it: https://example.com/ai-news",https://example.com/ai-news,revision或review
TC-SUB-06,T006,缺少来源链接,用户A,"I saw an important new AI model today. It is very powerful and may change how all agents work in the future.",,revision
TC-SUB-07,T006,完全重复内容,用户B,"Source: https://example.com/research/agent-evaluation. The useful idea is that agent evaluation should separate planning failures from tool-execution failures. For SpoonOS, this gives us a better way to write bug reports: contributors should state whether the plan was incorrect or whether the tool result was mishandled, and then attach the relevant trace. This would make product feedback easier to reproduce and review.",https://example.com/research/agent-evaluation,duplicate
TC-SUB-08,T012,X互动有效格式,用户A,"I reposted the designated SpoonOS update and added a specific observation about how persistent task filters could make the contribution portal easier to explore.",https://x.com/test_member/status/1900000000000000000,人工验证
TC-SUB-09,T012,X链接错误,用户A,"I reposted the official update and added my opinion about the product workflow.",https://example.com/not-an-x-post,revision
TC-SUB-10,T022,X原创产品体验,用户B,"I published an original SpoonOS use case based on a real Arena workflow. The post explains the objective, the prompt and tool sequence, the final result, one limitation I found, and how another user can reproduce it. I also included a product screenshot and mentioned the official campaign account.",https://x.com/test_member_b/status/1900000000000000001,review
